id,lon,lat,taxonomy,number,night,structural,ADM2,ADM3,ADM4,desaID,use
HOSP_1,106.0538306,-6.018235209,CR_LFM-DUM_H:4,3,74.83,3977498,Kota Cilegon,Jombang,Jombang Wetan,Kota Cilegon_Jombang_Jombang Wetan,hospital
HOSP_2,106.0490459,-6.017911132,CR_LFM-DUL_H:3,2,38.17,1008628,Kota Cilegon,Jombang,Jombang Wetan,Kota Cilegon_Jombang_Jombang Wetan,hospital
HOSP_3,106.0472942,-6.019836903,CR_LFM-DUM_H:3,3,11.33,506645,Kota Cilegon,Jombang,Masigit,Kota Cilegon_Jombang_Masigit,hospital
HOSP_4,106.0286,-5.9838,CR_LFM-DUM_H:3,3,22,523741,Kota Cilegon,Jombang,Masigit,Kota Cilegon_Jombang_Masigit,hospital
HOSP_5,106.0286,-5.9838,CR_LFM-DUM_H:3,3,54.5,6944615,Kota Cilegon,Jombang,Masigit,Kota Cilegon_Jombang_Masigit,hospital
HOSP_6,106.0646416,-6.006227899,CR_LFM-DUH_H:2,4,172.83,8778593,Kota Cilegon,Jombang,Panggung Rawi,Kota Cilegon_Jombang_Panggung Rawi,hospital
HOSP_7,106.0329823,-5.993132822,CR_LFM-DUH_H:2,4,133,17432300,Kota Cilegon,Purwakarta,Kotabumi,Kota Cilegon_Purwakarta_Kotabumi,hospital
HOSP_8,106.1902912,-6.157871764,CR_LFM-DUH_H:1,4,240.33,3987853,Kota Serang,Cipocok,Banjarsari,Kota Serang_Cipocok_Banjarsari,hospital
HOSP_9,106.1828225,-6.1206043,CR_LFM-DUH_H:3,4,148.67,3889607,Kota Serang,Cipocok,Panancangan,Kota Serang_Cipocok_Panancangan,hospital
HOSP_10,106.2019191,-6.120343445,CR_LFM-DUM_H:1,3,66.33,3358677,Kota Serang,Cipocok,Panancangan,Kota Serang_Cipocok_Panancangan,hospital
HOSP_11,106.1631963,-6.1148744,CR_LFM-DUM_H:3,3,52,2613374,Kota Serang,Serang,Cimuncang,Kota Serang_Serang_Cimuncang,hospital
